Difficulty,wasSolved,NakedSingles,HiddenSingles,NakedSubsets_Size2,HiddenSubsets_Size2,BlockLine-Interactions,NakedSubsets_Size3,HiddenSubsets_Size3,NakedSubsets_Size4,HiddenSubsets_Size4,XWing,GivenCount,AnzStartPos1,AnzStartPos2,AnzStartPos3,AnzStartPos4,AnzStartPos5,AnzStartPos6,AnzStartPos7,AnzStartPos8,AnzStartPos9,AnzPossibilities,wasBacktracked
0,1,51,5,0,0,0,0,0,0,0,0,25,8,4,7,8,8,8,6,4,3,208,0
0,1,52,0,0,0,0,0,0,0,0,0,29,4,8,7,5,2,8,6,5,3,168,0
0,1,52,7,0,0,0,0,0,0,0,0,22,11,8,7,5,6,7,5,6,4,242,0
0,1,47,12,0,0,0,0,0,0,0,0,22,6,7,4,1,6,3,4,2,6,229,0
0,1,41,12,0,0,0,0,0,0,0,0,28,4,9,7,4,6,4,2,4,6,185,0
0,1,47,1,0,0,0,0,0,0,0,0,33,4,3,6,5,8,7,5,2,4,146,0
0,1,48,13,0,0,0,0,0,0,0,0,20,6,8,6,13,8,5,5,4,6,275,0
0,1,38,17,0,0,0,0,0,0,0,0,26,7,6,6,4,6,7,7,3,5,208,0
0,1,50,4,0,0,0,0,0,0,0,0,27,6,5,6,7,5,8,7,5,5,193,0
0,1,50,3,0,0,0,0,0,0,0,0,28,8,8,4,10,7,4,3,3,6,177,0
0,1,57,0,0,0,0,0,0,0,0,0,24,6,11,4,6,5,7,6,6,6,217,0
0,1,46,14,0,0,0,0,0,0,0,0,21,6,9,10,6,9,5,7,4,4,245,0
0,1,38,16,0,0,0,0,0,0,0,0,27,4,6,4,3,5,7,8,4,7,184,0
0,1,37,16,0,0,0,0,0,0,0,0,28,5,6,5,7,6,8,1,4,11,190,0
0,1,51,0,0,0,0,0,0,0,0,0,30,4,4,3,6,11,5,6,6,6,168,0
0,1,54,4,0,0,0,0,0,0,0,0,23,7,9,7,9,6,3,6,5,6,210,0
0,1,44,13,0,0,0,0,0,0,0,0,24,7,4,9,5,5,6,9,4,4,212,0
0,1,45,10,0,0,0,0,0,0,0,0,26,9,4,6,7,8,7,5,5,4,213,0
0,1,46,13,0,0,0,0,0,0,0,0,22,8,6,7,8,6,5,6,7,6,244,0
0,1,50,0,0,0,0,0,0,0,0,0,31,5,6,4,7,5,7,6,6,4,152,0
0,1,37,22,0,0,0,0,0,0,0,0,22,5,5,3,3,2,6,3,2,6,247,0
0,1,50,0,0,0,0,0,0,0,0,0,31,7,6,4,5,8,4,5,5,6,157,0
0,1,36,16,0,0,0,0,0,0,0,0,29,8,12,5,4,5,5,5,3,5,188,0
0,1,44,16,0,0,0,0,0,0,0,0,21,9,7,8,6,7,9,4,4,6,254,0
0,1,45,6,0,0,0,0,0,0,0,0,30,7,4,2,5,5,3,7,5,4,181,0
0,1,46,0,0,0,0,0,0,0,0,0,35,6,6,7,4,6,6,3,5,3,121,0
0,1,36,23,0,0,0,0,0,0,0,0,22,6,6,7,6,6,12,4,7,5,248,0
