Difficulty,wasSolved,NakedSingles,HiddenSingles,NakedSubsets_Size2,HiddenSubsets_Size2,BlockLine-Interactions,NakedSubsets_Size3,HiddenSubsets_Size3,NakedSubsets_Size4,HiddenSubsets_Size4,XWing,GivenCount,AnzStartPos1,AnzStartPos2,AnzStartPos3,AnzStartPos4,AnzStartPos5,AnzStartPos6,AnzStartPos7,AnzStartPos8,AnzStartPos9,AnzPossibilities,wasBacktracked
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 4, 4, 5, 4, 10, 3, 6, 2, 123, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 0, 0, 3, 5, 3, 7, 4, 0, 131, 0
0, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 1, 1, 1, 4, 7, 1, 2, 0, 142, 0
0, 35, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 2, 1, 4, 0, 1, 2, 0, 2, 163, 0
0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 0, 3, 0, 8, 0, 0, 7, 6, 138, 0
0, 44, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 2, 2, 4, 1, 1, 0, 0, 4, 169, 0
0, 44, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 4, 5, 2, 6, 4, 3, 4, 5, 121, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 9, 9, 7, 14, 11, 8, 9, 16, 111, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 1, 1, 3, 4, 6, 3, 6, 5, 126, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 7, 10, 3, 5, 7, 14, 13, 8, 119, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 3, 0, 6, 4, 1, 2, 2, 144, 0
0, 40, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 2, 6, 2, 5, 3, 4, 6, 8, 142, 0
0, 42, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 4, 4, 3, 5, 0, 2, 3, 0, 158, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 3, 5, 6, 5, 2, 5, 2, 4, 121, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 0, 4, 0, 3, 2, 2, 2, 0, 148, 0
0, 46, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 3, 3, 2, 0, 9, 0, 4, 4, 162, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 4, 1, 4, 3, 5, 2, 2, 3, 126, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 6, 1, 5, 4, 8, 1, 2, 1, 132, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 1, 1, 5, 2, 4, 5, 8, 8, 119, 0
0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4, 3, 3, 2, 2, 0, 2, 3, 3, 165, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 3, 2, 5, 4, 4, 2, 0, 3, 138, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 10, 3, 3, 5, 3, 6, 7, 3, 128, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 3, 6, 0, 5, 2, 1, 2, 1, 141, 0
0, 42, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 6, 3, 8, 9, 5, 5, 3, 3, 1, 122, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 2, 1, 2, 6, 6, 5, 5, 4, 120, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 4, 2, 2, 4, 1, 3, 7, 3, 135, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 0, 1, 7, 2, 2, 6, 3, 2, 131, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 2, 6, 3, 3, 5, 6, 5, 4, 142, 0
0, 39, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 3, 3, 6, 0, 4, 3, 2, 5, 146, 0
0, 44, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 10, 1, 5, 3, 0, 2, 2, 3, 2, 131, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 5, 6, 2, 2, 2, 2, 2, 5, 125, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 6, 4, 3, 5, 6, 5, 2, 1, 127, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 1, 1, 3, 4, 4, 1, 1, 1, 150, 0
0, 42, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 6, 4, 3, 4, 2, 9, 2, 2, 133, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 3, 5, 3, 7, 4, 7, 2, 3, 128, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 6, 0, 1, 3, 4, 8, 3, 7, 117, 0
0, 46, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 0, 1, 3, 6, 0, 0, 0, 179, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 0, 6, 7, 5, 7, 3, 2, 1, 137, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 4, 1, 1, 2, 3, 2, 4, 2, 124, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 1, 4, 4, 5, 6, 6, 3, 5, 119, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 0, 3, 6, 7, 3, 0, 1, 7, 145, 0
0, 39, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 3, 3, 3, 5, 0, 2, 4, 6, 131, 0
0, 34, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 4, 1, 4, 2, 2, 5, 3, 1, 146, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 3, 2, 3, 12, 4, 1, 5, 8, 121, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 1, 3, 6, 6, 5, 0, 4, 4, 122, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 1, 2, 10, 6, 3, 0, 1, 5, 152, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 6, 5, 6, 3, 6, 2, 4, 10, 119, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 6, 6, 4, 1, 4, 2, 5, 1, 138, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 1, 5, 5, 6, 5, 5, 3, 3, 124, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 7, 4, 5, 1, 3, 0, 6, 2, 130, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 0, 1, 4, 2, 9, 4, 2, 4, 134, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 13, 5, 6, 5, 4, 6, 3, 2, 6, 109, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 0, 2, 5, 1, 0, 4, 3, 3, 142, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 0, 5, 0, 6, 4, 4, 3, 3, 130, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 4, 2, 0, 4, 4, 3, 4, 1, 139, 0
0, 45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 7, 1, 3, 0, 5, 1, 4, 3, 136, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 0, 4, 4, 3, 5, 4, 2, 3, 135, 0
0, 41, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 5, 3, 4, 5, 10, 4, 0, 0, 122, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 4, 4, 3, 4, 5, 0, 6, 6, 132, 0
0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2, 1, 1, 2, 0, 1, 2, 6, 0, 175, 0
0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 3, 0, 4, 2, 1, 3, 7, 1, 3, 165, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 7, 3, 2, 8, 6, 7, 5, 1, 131, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 8, 0, 1, 6, 11, 5, 6, 11, 112, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 5, 0, 1, 9, 5, 2, 3, 135, 0
0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 1, 6, 7, 5, 6, 1, 7, 4, 124, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 2, 2, 2, 6, 3, 0, 4, 3, 140, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 3, 1, 7, 3, 3, 12, 5, 2, 113, 0
0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 1, 2, 3, 3, 3, 1, 6, 6, 122, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 3, 4, 3, 0, 3, 7, 3, 3, 131, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 2, 5, 3, 6, 4, 7, 2, 4, 135, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 10, 2, 7, 10, 5, 6, 4, 9, 113, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 9, 3, 3, 1, 5, 6, 4, 3, 139, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 6, 4, 0, 3, 3, 2, 2, 4, 139, 0
0, 37, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 4, 0, 1, 3, 1, 4, 0, 4, 138, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 5, 4, 4, 6, 8, 8, 4, 10, 132, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 3, 4, 2, 5, 6, 4, 1, 1, 126, 0
0, 47, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 1, 1, 0, 1, 3, 4, 5, 159, 0
0, 42, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 0, 3, 1, 1, 2, 1, 8, 139, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 4, 4, 13, 6, 4, 11, 7, 7, 115, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 3, 2, 2, 4, 11, 4, 3, 2, 149, 0
0, 38, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 1, 3, 2, 2, 2, 0, 2, 1, 137, 0
